,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
1214,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
1215,M,0.57,0.445,0.16,1.0145,0.516,0.16399999999999998,0.3,10
1216,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
1217,F,0.56,0.435,0.185,1.1059999999999999,0.42200000000000004,0.2435,0.33,15
1218,I,0.44,0.345,0.115,0.545,0.26899999999999996,0.111,0.1305,6
1219,M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8
1220,F,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32,12
1221,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
1222,F,0.5,0.375,0.115,0.5945,0.185,0.14800000000000002,0.19,11
1223,F,0.68,0.55,0.2,1.5959999999999999,0.525,0.4075,0.585,21
1224,I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9
1225,I,0.2,0.145,0.05,0.036000000000000004,0.0125,0.008,0.011000000000000001,4
1226,F,0.465,0.35,0.13,0.494,0.1945,0.10300000000000001,0.155,18
1227,F,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8
1228,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9
1229,M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10
1230,F,0.735,0.565,0.205,2.1275,0.9490000000000001,0.46,0.565,12
1231,M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14
1232,I,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01,4
1233,F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,13
1234,M,0.655,0.545,0.19,1.4245,0.6325,0.33299999999999996,0.37799999999999995,10
1235,F,0.38,0.29,0.105,0.257,0.099,0.051,0.085,10
1236,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
1237,I,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9
1238,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.08900000000000001,7
1239,M,0.45,0.33,0.105,0.4955,0.2575,0.08199999999999999,0.129,8
1240,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
1241,M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
1242,M,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11
1243,I,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11
1244,I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
1245,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
1246,M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135,8
1247,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
1248,F,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15,9
1249,I,0.55,0.465,0.15,0.9359999999999999,0.48100000000000004,0.174,0.2435,9
1250,I,0.625,0.465,0.155,0.972,0.40399999999999997,0.1845,0.35,14
1251,I,0.435,0.335,0.11,0.41100000000000003,0.2025,0.0945,0.1,7
1252,F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9
1253,F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,12
1254,M,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
1255,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
1256,M,0.62,0.515,0.175,1.2209999999999999,0.535,0.24100000000000002,0.395,13
1257,I,0.42,0.325,0.115,0.354,0.1625,0.064,0.105,8
1258,M,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9
1259,M,0.535,0.42,0.16,0.72,0.275,0.16399999999999998,0.225,15
1260,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
1261,I,0.625,0.43,0.175,1.411,0.5720000000000001,0.297,0.395,12
1262,M,0.59,0.465,0.135,0.9895,0.4235,0.19899999999999998,0.28,8
1263,I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9
1264,M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7
1265,M,0.525,0.42,0.155,0.8420000000000001,0.428,0.1415,0.2045,9
1266,M,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11
1267,I,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11
1268,M,0.505,0.4,0.135,0.723,0.377,0.149,0.17800000000000002,7
1269,I,0.5,0.38,0.11,0.5605,0.28,0.106,0.15,9
1270,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
1271,F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
1272,F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
1273,M,0.475,0.365,0.14,0.6175,0.20199999999999999,0.1445,0.19,16
1274,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
1275,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
1276,M,0.63,0.47,0.155,1.1325,0.589,0.21100000000000002,0.287,8
1277,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.39799999999999996,11
1278,F,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
1279,F,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,8
1280,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
1281,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
1282,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
1283,F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11
1284,I,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126,8
1285,M,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15
1286,I,0.46,0.345,0.11,0.3755,0.1525,0.057999999999999996,0.125,7
1287,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10
1288,F,0.61,0.485,0.17,1.1005,0.5125,0.22899999999999998,0.305,11
1289,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18
1290,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
1291,M,0.65,0.495,0.18,1.7930000000000001,0.8005,0.33899999999999997,0.53,14
1292,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
1293,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
1294,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
1295,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
1296,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
1297,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
1298,M,0.53,0.4,0.125,0.7575,0.39799999999999996,0.151,0.175,8
1299,M,0.57,0.47,0.155,1.186,0.6355,0.2315,0.27699999999999997,10
1300,M,0.65,0.515,0.18,1.3315,0.5665,0.34700000000000003,0.405,13
1301,M,0.525,0.4,0.14,0.7325,0.33399999999999996,0.1575,0.17,11
1302,M,0.64,0.52,0.2,1.4069999999999998,0.5660000000000001,0.304,0.455,17
1303,M,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7,17
1304,M,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8
1305,F,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,11
1306,I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
1307,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
1308,I,0.435,0.325,0.12,0.34600000000000003,0.159,0.084,0.095,7
1309,I,0.47,0.375,0.12,0.48700000000000004,0.196,0.099,0.135,8
1310,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8
1311,M,0.61,0.45,0.15,0.871,0.40700000000000003,0.1835,0.25,10
1312,M,0.65,0.495,0.17,1.276,0.6215,0.2305,0.39899999999999997,11
1313,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5
1314,M,0.67,0.55,0.17,1.247,0.47200000000000003,0.2455,0.4,21
1315,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.19399999999999998,10
1316,F,0.465,0.36,0.12,0.4765,0.192,0.1125,0.16,10
1317,I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
1318,F,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
1319,F,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2,9
1320,M,0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,13
1321,F,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,7
1322,F,0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
1323,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
1324,M,0.48,0.375,0.145,0.777,0.21600000000000003,0.13,0.17,9
1325,F,0.64,0.5,0.165,1.1635,0.5539999999999999,0.239,0.32,11
1326,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
1327,M,0.565,0.44,0.175,1.122,0.39299999999999996,0.2,0.375,20
1328,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
1329,I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10
1330,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
1331,F,0.73,0.55,0.205,1.9080000000000001,0.5415,0.3565,0.5965,14
1332,M,0.59,0.475,0.14,0.977,0.4625,0.2025,0.275,10
1333,F,0.575,0.47,0.155,1.1159999999999999,0.509,0.23800000000000002,0.34,10
1334,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
1335,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
1336,M,0.525,0.425,0.12,0.8665,0.2825,0.17600000000000002,0.29,18
1337,F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
1338,F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
1339,I,0.46,0.36,0.1,0.4635,0.2325,0.09300000000000001,0.115,7
1340,M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
1341,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
1342,F,0.62,0.435,0.155,1.012,0.47700000000000004,0.23600000000000002,0.275,8
1343,M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,8
1344,I,0.58,0.46,0.14,0.8295,0.3915,0.165,0.23800000000000002,10
1345,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13
1346,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8
1347,M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
1348,I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6
1349,I,0.45,0.35,0.135,0.494,0.2205,0.0945,0.1405,7
1350,I,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036000000000000004,7
1351,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
1352,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
1353,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
1354,I,0.45,0.335,0.11,0.4195,0.18100000000000002,0.085,0.1345,7
1355,I,0.33,0.245,0.065,0.1445,0.057999999999999996,0.032,0.0505,6
1356,M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,18
1357,I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
1358,I,0.47,0.385,0.13,0.5870000000000001,0.264,0.11699999999999999,0.174,8
1359,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
1360,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
1361,M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.32299999999999995,8
1362,I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8
1363,M,0.62,0.5,0.18,1.3915,0.726,0.2795,0.332,11
1364,F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
1365,I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8
1366,I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6
1367,M,0.66,0.525,0.18,1.4780000000000002,0.5815,0.381,0.37200000000000005,10
1368,M,0.77,0.6,0.215,2.1945,1.0515,0.48200000000000004,0.584,10
1369,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
1370,I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9
1371,F,0.59,0.465,0.15,0.997,0.392,0.24600000000000002,0.34,12
1372,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
1373,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12
1374,F,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.29100000000000004,11
1375,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
1376,F,0.66,0.52,0.2,1.676,0.6729999999999999,0.4805,0.45,17
1377,M,0.335,0.265,0.105,0.222,0.0935,0.055999999999999994,0.075,7
1378,I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
1379,F,0.53,0.425,0.13,0.7585,0.325,0.19699999999999998,0.205,8
1380,I,0.55,0.425,0.15,0.8059999999999999,0.376,0.171,0.245,14
1381,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7
1382,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
1383,I,0.185,0.135,0.04,0.027000000000000003,0.0105,0.0055,0.009000000000000001,5
1384,M,0.585,0.45,0.15,0.997,0.4055,0.28300000000000003,0.251,11
1385,F,0.595,0.46,0.16,0.9209999999999999,0.4005,0.2025,0.2875,9
1386,F,0.61,0.485,0.21,1.3445,0.535,0.2205,0.515,20
1387,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
1388,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10
1389,F,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,9
1390,M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
1391,I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7
1392,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
1393,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
1394,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
1395,I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.16699999999999998,8
1396,M,0.63,0.515,0.155,1.2590000000000001,0.4105,0.19699999999999998,0.41,13
1397,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6
1398,I,0.385,0.29,0.09,0.23199999999999998,0.0855,0.0495,0.08,7
1399,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11
1400,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
1401,F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
1402,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
1403,I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7
1404,F,0.58,0.455,0.12,0.94,0.39899999999999997,0.257,0.265,11
1405,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
1406,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
1407,I,0.56,0.435,0.13,0.777,0.354,0.17300000000000001,0.222,9
1408,M,0.685,0.51,0.165,1.545,0.6859999999999999,0.3775,0.4055,10
1409,I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
1410,M,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,10
1411,M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
1412,F,0.435,0.35,0.125,0.45899999999999996,0.19699999999999998,0.1145,0.145,9
1413,I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
1414,F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
1415,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.14800000000000002,7
1416,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
1417,F,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
1418,M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
1419,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
1420,I,0.485,0.38,0.125,0.5215,0.2215,0.11800000000000001,0.16,8
1421,M,0.62,0.525,0.155,1.085,0.45399999999999996,0.1965,0.35,10
1422,I,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,4
1423,I,0.51,0.4,0.125,0.5935,0.239,0.13,0.204,8
1424,M,0.515,0.41,0.14,0.7355,0.3065,0.13699999999999998,0.2,7
1425,F,0.73,0.58,0.19,1.7375,0.6785,0.4345,0.52,11
1426,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
1427,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
1428,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13
1429,I,0.54,0.425,0.14,0.742,0.32,0.1395,0.25,9
1430,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
1431,F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
1432,F,0.485,0.375,0.145,0.5885,0.2385,0.1155,0.19,13
1433,M,0.58,0.46,0.13,0.9209999999999999,0.35700000000000004,0.18100000000000002,0.29,13
1434,M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
1435,F,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25,13
1436,F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11
1437,M,0.58,0.44,0.15,1.0465,0.518,0.2185,0.2795,10
1438,F,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8
1439,I,0.32,0.235,0.065,0.1385,0.057999999999999996,0.0225,0.05,5
1440,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
1441,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
1442,M,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,10
1443,M,0.7,0.55,0.2,1.5230000000000001,0.693,0.306,0.4405,13
1444,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
1445,F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8
1446,I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7
1447,M,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14
1448,I,0.485,0.37,0.14,0.5065,0.2425,0.08800000000000001,0.1465,8
1449,M,0.595,0.45,0.14,0.838,0.3965,0.19399999999999998,0.217,10
1450,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.37200000000000005,8
1451,F,0.605,0.46,0.17,1.122,0.34700000000000003,0.3045,0.315,13
1452,F,0.64,0.515,0.165,1.3115,0.4945,0.2555,0.41,10
1453,I,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.09300000000000001,7
1454,I,0.52,0.405,0.14,0.5775,0.2,0.145,0.179,11
1455,F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
1456,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9
1457,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
1458,I,0.525,0.4,0.14,0.6055,0.2605,0.10800000000000001,0.21,9
1459,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
1460,M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
1461,I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10
1462,I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027000000000000003,6
1463,I,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109,8
1464,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
1465,F,0.645,0.535,0.19,1.2395,0.46799999999999997,0.2385,0.424,10
1466,I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11
1467,I,0.465,0.355,0.09,0.4325,0.2005,0.07400000000000001,0.1275,9
1468,M,0.455,0.35,0.12,0.4835,0.1815,0.14400000000000002,0.16,11
1469,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
1470,I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
1471,I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
1472,M,0.745,0.565,0.215,1.931,0.8959999999999999,0.4585,0.5,11
1473,M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
1474,M,0.585,0.46,0.15,1.206,0.581,0.21600000000000003,0.32299999999999995,10
1475,F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11
1476,I,0.46,0.35,0.11,0.4,0.17600000000000002,0.083,0.1205,7
1477,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
1478,I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
1479,F,0.465,0.355,0.115,0.4705,0.1955,0.11800000000000001,0.126,7
1480,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
1481,I,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02,5
1482,I,0.31,0.24,0.105,0.2885,0.11800000000000001,0.065,0.083,6
1483,M,0.7,0.55,0.195,1.6245,0.675,0.34700000000000003,0.535,13
1484,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
1485,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
1486,I,0.525,0.4,0.125,0.5655,0.2435,0.11900000000000001,0.175,8
1487,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
1488,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
1489,F,0.505,0.4,0.165,0.7290000000000001,0.2675,0.155,0.25,9
1490,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5
1491,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
1492,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
1493,M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
1494,F,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21,14
1495,M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
1496,F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12
1497,M,0.445,0.345,0.14,0.47600000000000003,0.2055,0.1015,0.1085,15
1498,F,0.6,0.48,0.18,1.0645,0.4495,0.2455,0.325,10
1499,M,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10
1500,M,0.62,0.48,0.165,1.0855,0.48100000000000004,0.2575,0.305,10
1501,I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
1502,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28,12
1503,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9
1504,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
1505,I,0.165,0.12,0.03,0.0215,0.006999999999999999,0.005,0.005,3
1506,F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
1507,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
1508,M,0.56,0.45,0.14,0.9,0.47200000000000003,0.182,0.218,7
1509,M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
1510,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
1511,I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
1512,I,0.29,0.205,0.07,0.0975,0.036000000000000004,0.019,0.035,8
1513,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
1514,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
1515,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
1516,M,0.645,0.51,0.19,1.4865,0.6445,0.29600000000000004,0.425,12
1517,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
1518,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
1519,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
1520,M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
1521,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,6
1522,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
1523,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
1524,M,0.63,0.505,0.175,1.2209999999999999,0.555,0.252,0.34,12
1525,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
1526,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
1527,M,0.615,0.525,0.155,1.1375,0.36700000000000005,0.23600000000000002,0.37,20
1528,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12
1529,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
1530,M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11
1531,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
1532,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
1533,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7
1534,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9
1535,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12
1536,I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13
1537,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
1538,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11
1539,M,0.625,0.5,0.14,1.0959999999999999,0.5445,0.2165,0.295,10
1540,I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10
1541,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
1542,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.10300000000000001,8
1543,F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
1544,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13
1545,I,0.605,0.49,0.165,1.071,0.48200000000000004,0.1935,0.35200000000000004,10
1546,M,0.605,0.5,0.175,1.0979999999999999,0.4765,0.23199999999999998,0.375,12
1547,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,9
1548,I,0.5,0.385,0.12,0.516,0.19699999999999998,0.1305,0.165,8
1549,F,0.47,0.35,0.115,0.48700000000000004,0.1955,0.127,0.155,8
1550,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
1551,M,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
1552,F,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
1553,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
1554,M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
1555,I,0.4,0.315,0.09,0.3245,0.151,0.073,0.08800000000000001,8
1556,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6
1557,I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
1558,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
1559,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
1560,I,0.205,0.14,0.05,0.046,0.0165,0.012,0.0135,6
1561,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027000000000000003,5
1562,F,0.65,0.495,0.175,1.227,0.528,0.258,0.37,11
1563,M,0.63,0.51,0.23,1.5390000000000001,0.5635,0.2815,0.57,17
1564,I,0.415,0.325,0.11,0.316,0.1385,0.0795,0.0925,8
1565,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
1566,F,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,16
1567,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
1568,I,0.48,0.35,0.105,0.635,0.35200000000000004,0.127,0.135,6
1569,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
1570,I,0.435,0.325,0.105,0.335,0.136,0.065,0.115,8
